percentile,roi_percent,payback_months,npv_3_year,benefit_cost_ratio
1th,53.8875079325467,2.8645212991531843,569800.1161605585,1.5388750793254669
5th,73.06565566004144,3.3540612098062033,758175.0401998229,1.7306565566004144
10th,84.17436614225838,3.6386270100039475,873436.3207423353,1.8417436614225837
25th,104.58633903013263,4.2436620909411165,1057940.5947786365,2.045863390301326
50th,129.2185401703718,5.142979885651348,1266697.3418254799,2.292185401703718
75th,155.3450596983965,6.334640756281937,1475599.892731876,2.5534505969839656
90th,179.65399341152454,7.818447835005704,1662325.7348730613,2.7965399341152453
95th,195.23897824693603,8.984477120407988,1783501.6834831699,2.95238978246936
99th,222.95021012419872,12.211963680595078,1998194.0101729166,3.2295021012419873
